ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title
14738,simple,,,Wenge Rubberwood Knife Block LKKST20004,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20004.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14739,simple,,,Rubberwood Knife Block LKKST20005,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20005.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14740,simple,,,Rubberwood Knife Block LKKST20006,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20006.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14741,simple,,,Black Walnut Knife Block LKKST20007,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20007.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14742,simple,,,Ash Knife Block LKKST20008,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20008.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14743,simple,,,Rubberwood Knife Block LKKST20009,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20009.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14744,simple,,,Ash Knife Block LKKST20010,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20010.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14745,simple,,,Ash Knife Block LKKST20012,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20012.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14746,simple,,,Ash Knife Block LKKST20013,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20013.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14747,simple,,,Rubber Wood Knife Block LKKST20014,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20014.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14748,simple,,,Rubberwood Sapele Knife Block LKKST20015,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20015.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14749,simple,,,Rubberwood Acrylic Knife Block LKKST20016,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20016.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14750,simple,,,Rubberwood Knife Block LKKST20017,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20017.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14751,simple,,,Sapele Knife Block LKKST20018,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20018.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14752,simple,,,Walnut Knife Block LKKST20019,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20019.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14753,simple,,,Rubberwood Knife Box LKKST20001,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20001.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14754,simple,,,Birch Knife Box LKKST20002,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20002.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
14755,simple,,,Rubberwood Knife Box LKKST20003,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Storage,,,https://img.leeknives.com/wp-content/uploads/2024/03/LKKST20003.jpg,,,,,,,,,0,,,,,,,7,,88,14759,no,,
16091,simple,,,Multi-Functional Magnetic Knife Block LKKST20020,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,"Knife Accessories > Knife Storage, Award-Winning Designs Gallery",,,https://img.leeknives.com/wp-content/uploads/2024/12/ji刀座.png,,,,,,,,,0,,,,,,,7,,88,14759,no,,
16411,simple,,,Multi-Functional Knife Block LKKST20021,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,"Knife Accessories > Knife Storage, Award-Winning Designs Gallery",,,https://img.leeknives.com/wp-content/uploads/2025/03/LKKST20021-1.webp,,,,,,,,,0,,,,,,,7,,88,14759,no,0,
