ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title
12325,simple,,,10Cr15CoMoV Clad Steel Ebony Handle Kiritsuke 211 mm KKDA0187,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/kiritsuke-kkda0187"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0187-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,,66,1598,no,,
12337,simple,,,Damascus Clad 10Cr15CoMoV Stabilized Wood Octagonal Wa Handle Kiritsuke 210 mm KKDA0252,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/kiritsuke-kkda0252"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0252-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,,66,1598,no,,
12345,simple,,,San Mai Octagonal Rosewood Wa Handle Kiritsuke 200 mm Hammered Finish KKDA0466,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/kiritsuke-kkda0466"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0466-custom.jpg,,,,,,,,,0,,,,,,,10,,66,1598,no,,
12353,simple,,,Damascus Clad 10Cr15CoMoV Ebony Handle Kiritsuke 211 mm Hammered Finish KKDA0448,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/kiritsuke-kkda0448"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0448-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,,66,1598,no,,
12362,simple,,,5Cr15MoV Stabilized Wood Kiritsuke 233 mm Hammered Finish KKDA0104,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/kiritsuke-kkda0104"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0104.jpeg,,,,,,,,,0,,Blade Material,5Cr15MoV,0,1,,10,,66,1598,no,,
12363,simple,,,5Cr15MoV Pakkawood Kiritsuke 205 mm Hammered Finish KKDA0253,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/kiritsuke-kkda0253"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0253.jpeg,,,,,,,,,0,,Blade Material,5Cr15MoV,0,1,,10,,66,1598,no,,
12458,simple,,,5Cr15MoV Pakkawood Kiritsuke 212 mm KKDA0240,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/kiritsuke-kkda0240"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0240.jpg,,,,,,,,,0,,Blade Material,5Cr15MoV,0,1,,10,,66,1598,no,,
12460,simple,,,Damascus Clad 10Cr15CoMoV Stabilized Wood Handle Kiritsuke 210 mm KKDA0347,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/kiritsuke-kkda0347"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0347.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,,66,1598,no,,
12462,simple,,,5Cr15MoV Rosewood Handle Kiritsuke 230 mm KKDA0400,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/kiritsuke-kkda0400"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0400-e1702965487242.jpeg,,,,,,,,,0,,Blade Material,5Cr15MoV,0,1,,10,,0,1598,no,,
12464,simple,,,San Mai Rosewood Kiritsuke 205 mm KKDA0085,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/kiritsuke-kkda0085"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0085-custom.jpg,,,,,,,,,0,,,,,,,10,,66,1598,no,,
