ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title
1875,simple,,,8Cr13MoV Clad Steel Octagonal Rosewood Wa Handle Santoku 175 mm LKJSO10001,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>Ultra-sharp 8Cr13MoV steel with improved corrosion resistance and durability. Thanks to the 430 stainless steel clad-forged together.</li>
\n 	<li>Santoku knife, the Japanese equivalent of the Western chef’s knife. Applies to most of the cutting jobs.</li>
\n 	<li>Japanese wa-handle with an octagonal shape. Lightweight and airy in hands. But with decent durability provided by rosewood.</li>
\n</ul>
\n<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJSO10001-santoku.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,0,1,,65,santoku,65,1598,no,
1881,simple,,,8Cr13MoV Rosewood Santoku 170 mm LKJSO10002,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>By standard, 8Cr13MoV is a high carbon stainless steel. The high chromium content makes the blade rust resistant. While the carbon and impurities offer hardness (57 HRC) and strength.</li>
\n 	<li>The many-uses Santoku knife is an ideal choice for any kitchen. The knife covers a wide range of ingredients from meat and seafood to veggies and fruits.</li>
\n 	<li>Not your typical wooden handle, the rosewood material used for this knife is incredibly durable.</li>
\n</ul>
\n<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJSO10002-santoku.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,1,1,,68,santoku,65,1598,no,
1958,simple,,,Damascus Clad 10Cr18Mov Octagonal Stabilized Wood Wa Handle Santoku 180 mm LKJSO10003,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>Forged using the san mai technique. The core 9Cr18Mov steel makes contact with the ingredients while the layered pattern welded steel protects the blade from bending and rusting.</li>
\n 	<li>Santoku means ‘three virtues’ in Japanese. The knife embodies the name, and is apt to cut meat, vegetables, and fruits.</li>
\n 	<li>Handcrafted Japanese wa handle. Octagonal faceted with stabilized wood, in homage to the Japanese tradition.</li>
\n</ul>
\n<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs","<table>
\n<tbody>
\n<tr>
\n<td>Item No.</td>
\n<td>LKJSO10003</td>
\n</tr>
\n<tr>
\n<td>Overall Length</td>
\n<td>320 mm / 12.6 in.</td>
\n</tr>
\n<tr>
\n<td>Blade Length</td>
\n<td>180 mm / 7.09 in.</td>
\n</tr>
\n<tr>
\n<td>Blade Width</td>
\n<td>42 mm / 1.65 in.</td>
\n</tr>
\n<tr>
\n<td>Blade Thickness</td>
\n<td>2 mm / 0.08 in.</td>
\n</tr>
\n<tr>
\n<td>Weight</td>
\n<td>175 g / 6.17 oz.</td>
\n</tr>
\n<tr>
\n<td>Blade</td>
\n<td>10Cr18Mov Core with 420/430 Stainless Steel Cladding</td>
\n</tr>
\n<tr>
\n<td>Handle</td>
\n<td>Octagonal Stabilized Wood Wa (Japanese) Handle</td>
\n</tr>
\n<tr>
\n<td>Rockwell Hardness</td>
\n<td>60 +/- 2 HRC</td>
\n</tr>
\n<tr>
\n<td>Bevel</td>
\n<td>Double Bevel</td>
\n</tr>
\n<tr>
\n<td>MOQ</td>
\n<td>From 200 pc.</td>
\n</tr>
\n<tr>
\n<td>Lead Time</td>
\n<td>Sample: 7-25 Days
\nWholesale: 3-15 Days
\nCustomization (500-2000 pc.): 25-45 Days
\nCustomization (More than 2000 pc.): To Be Negotiated</td>
\n</tr>
\n<tr>
\n<td>Available Services</td>
\n<td>Dropshipping, Wholesale, Private Label, OEM</td>
\n</tr>
\n<tr>
\n<td>Customization</td>
\n<td>Stamped/Laser Engraved Logo, Custom Packaging</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJSO10003-santoku.jpg,,,,,,,,,0,,Blade Material,"9Cr18MoV, Damascus Steel",0,1,,64,santoku,65,,no,0
1964,simple,,,Damascus Clad 9Cr18Mov Oval Stabilized Wood Santoku 180 mm LKJSO10004,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>Living up to the name, this Santoku (three-virtue) knife is excellent at cutting meat, fish, and vegetables.</li>
\n 	<li>Two layer clad blade. With stainless Damascus steel coated on top of the 9Cr18Mov steel. The knife is able to deliver a satisfying sharpness while maintaining its durability and corrosion resistance.</li>
\n 	<li>The welded bolster makes the knife balanced towards the middle point, easier for home chefs to control and try out different cuts.</li>
\n</ul>
\n<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJSO10004-santoku.jpg,,,,,,,,,0,,Blade Material,"9Cr18MoV, Damascus Steel",0,1,,65,santoku,65,1598,no,
12321,simple,,,Damascus Clad 10Cr15CoMoV G10 Handle Santoku 180 mm KKDA0052,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/santoku-kkda0052"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0052-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,,65,1598,no,,
12347,simple,,,San Mai Octagonal Rosewood Wa Handle Santoku 180 mm Hammered Finish KKDA0467,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/santoku-kkda0467"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0467-custom.jpg,,,,,,,,,0,,,,,,,10,,65,1598,no,,
12349,simple,,,Damascus Clad 10Cr15CoMoV Ebony Octagonal Wa Handle Santoku 201 mm Hammered Finish KKDA0229,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/santoku-kkda0229"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0229-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,,65,1598,no,,
12476,simple,,,Damascus Pakkawood Santoku 179 mm Hammered Finish KKDA0179,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/santoku-kkda0179"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->","<table>
\n<tbody>
\n<tr>
\n<td>Item No.</td>
\n<td>KKDA0179</td>
\n</tr>
\n<tr>
\n<td>Overall Length</td>
\n<td>315 mm / 12.40 in.</td>
\n</tr>
\n<tr>
\n<td>Blade Length</td>
\n<td>179 mm / 7.05 in.</td>
\n</tr>
\n<tr>
\n<td>Blade Width</td>
\n<td>45 mm / 1.77 in.</td>
\n</tr>
\n<tr>
\n<td>Blade Thickness</td>
\n<td>2.3 mm / 0.09 in.</td>
\n</tr>
\n<tr>
\n<td>Weight</td>
\n<td>232 g / 8.18 oz.</td>
\n</tr>
\n<tr>
\n<td>Blade</td>
\n<td>Damascus</td>
\n</tr>
\n<tr>
\n<td>Handle</td>
\n<td>Pakkawood</td>
\n</tr>
\n<tr>
\n<td>Bevel</td>
\n<td>Double Bevel</td>
\n</tr>
\n<tr>
\n<td>MOQ</td>
\n<td>200</td>
\n</tr>
\n<tr>
\n<td>Lead Time</td>
\n<td>7 Days</td>
\n</tr>
\n<tr>
\n<td>Available Services</td>
\n<td>Wholesale, Private Label, OEM</td>
\n</tr>
\n<tr>
\n<td>Customization</td>
\n<td>Custom Logo, Custom Packaging</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0179-custom.jpg,,,,,,,,,0,,Blade Material,Damascus Steel,0,1,,10,,65,,no,0,
12482,simple,,,San Mai G10 Santoku 180 mm KKDA0183,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/santoku-kkda0183"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0183-custom.jpg,,,,,,,,,0,,,,,,,10,,65,1598,no,,
12486,simple,,,Damascus Clad 10Cr15CoMoV Ebony Handle Santoku 201 mm Hammered Finish KKDA0126,1,0,visible,"<h3>Good for</h3>
\nMeat, Fish, Vegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/santoku-kkda0126"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0126-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,,65,1598,no,,
