ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title
10127,simple,,,Damascus Clad Rosewood Fixed Blade Knife LKFBK10001,1,0,visible,"Custom knives also available in S35VN, D2, M390, and AUS-8 steels.",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Damascus-Clad-Rosewood-Fixed-Blade-Knife-LKFBK10001.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10001-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10001-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10001-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10001-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10001-1.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,
10139,simple,,,8Cr13MoV PA6 Fixed Blade Knife LKFBK10002,1,0,visible,"Custom knives also available in S35VN, D2, M390, and AUS-8 steels.",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/8Cr13MoV-PA6-Fixed-Blade-Knife-LKFBK10002.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10002-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10002-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10002-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10002-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10002-1.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,
10147,simple,,,8Cr13MoV Pakkawood Fixed Blade Knife LKFBK10003,1,0,visible,"Custom knives also available in S35VN, D2, M390, and AUS-8 steels.",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/8Cr13MoV-Pakkawood-Fixed-Blade-Knife-LKFBK10003.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10003-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10003-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10003-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10003-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10003-1.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,
10155,simple,,,8Cr13MoV G10 Fixed Blade Knife LKFBK10004,1,0,visible,"Custom knives also available in S35VN, D2, M390, and AUS-8 steels.",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/8Cr13MoV-G10-Fixed-Blade-Knife-LKFBK10004.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10004-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10004-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10004-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10004-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10004-1.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,
11876,simple,,,8Cr13MoV Pakkawood Fixed Blade Knife LKFBK10005,1,0,visible,"Custom knives also available in S35VN, D2, M390, and AUS-8 steels.",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,https://img.leeknives.com/wp-content/uploads/2023/10/LKFBK10005.jpg,,,,,,,,,0,,,,,,,11,,145,9705,no,,
11877,simple,,,8Cr13MoV Rosewood Fixed Blade Knife LKFBK10006,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, D2, M390, and AUS-8 steels.
\n
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,https://img.leeknives.com/wp-content/uploads/2023/10/LKFBK10006.jpg,,,,,,,,,0,,,,,,,11,,145,9705,no,,%title% | LeeKnives
11878,simple,,,8Cr13MoV Pakkawood Fixed Blade Knife LKFBK10007,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, D2, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,https://img.leeknives.com/wp-content/uploads/2023/10/LKFBK10007.jpg,,,,,,,,,0,,,,,,,11,,145,9705,no,,
14163,simple,,,D2 Steel Fixed Blade Knife LKFBK10008,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-6.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14164,simple,,,DC53 G10 Fixed Blade Knife LKFBK10009,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, D2, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-5.png, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-7.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14165,simple,,,440C G10 Fixed Blade Knife LKFBK10010,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, D2, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-1.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
