ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title
1874,simple,,,8Cr13MoV Clad Steel Octagonal Rosewood Wa Handle Nakiri 165 mm LKJNK10001,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>Premium clad steel. Combined both the sharpness of 8Cr13MoV steel and the toughness 430 stainless steel brings.</li>
\n 	<li>Refined Japanese Nakiri knife. Designed exclusively for vegetables, fruits, and herbs.</li>
\n 	<li>The knife follows the traditional design with an octagonal rosewood wa handle. The design is ambidextrous and offers good control.</li>
\n</ul>
\n<h3>Good for</h3>
\nVegetables, Fruit, Herbs",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJNK10001-nakiri.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,0,1,,65,nakiri,68,1598,no,,
1882,simple,,,8Cr13MoV Rosewood Nakiri 170 mm LKJNK10002,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>The Nakiri knife is specifically used for chopping and slicing vegetables by Japanese. Though the rectangle blade looks similar to a cleaver, the blade is much thinner and narrower for precision cutting.</li>
\n 	<li>8Cr13MoV steel was used in the making of this knife. As a mid-grade stainless steel, it provides efficient hardness in 57 HRC.</li>
\n 	<li>The rosewood handle is the finishing touch of this classic Nakiri: Comfortable to hold in hand, and being dense wood makes it less troublesome for daily caring.</li>
\n</ul>
\n<h3>Good for</h3>
\nVegetables, Fruit, Herbs",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJNK10002-nakiri.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,1,1,,68,nakiri,68,1598,no,,
1960,simple,,,Damascus Clad 9Cr18Mov Octagonal Stabilized Wood Wa Handle Nakiri 180 mm LKJNK10003,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>Damascus san mai steel. High hardness 9Cr18Mov steel makes the sharpest point of the blade, stainless 420/430 steel forged together as a jacket to provide toughness.</li>
\n 	<li>Veg-focused Nakiri knife. This knife shines particularly at cutting vegetables and herbs.</li>
\n 	<li>Stabilized wood handle, doesn’t leave porous, can work well under a humid environment.</li>
\n</ul>
\n<h3>Good for</h3>
\nVegetables, Fruit, Herbs",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJNK10003-nakiri.jpg,,,,,,,,,0,,Blade Material,"9Cr18MoV, Damascus Steel",0,1,,65,nakiri,68,1598,no,,
1962,simple,,,Damascus Clad 9Cr18Mov Oval Stabilized Wood Nakiri 180 mm LKJNK10004,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>Rectangle blade vegetable knife. The Nakiri is a specialized knife solely used for vegetables and fruits.</li>
\n 	<li>The surface of the blade is made from stainless Damascus steel which holds well against corrosion. The cutting edge, however, is made from 9Cr18Mov steel around 60 HRC.</li>
\n 	<li>Stabilized wood handle does a great job at eliminating shrinkage &amp; cracking issues.</li>
\n</ul>
\n<h3>Good for</h3>
\nVegetables, Fruit, Herbs",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJNK10004-nakiri.jpg,,,,,,,,,0,,Blade Material,"9Cr18MoV, Damascus Steel",0,1,,65,nakiri,68,1598,no,,
12323,simple,,,Damascus Clad 10Cr15CoMoV G10 Handle Nakiri 180 mm KKDA0425,1,0,visible,"<h3>Good for</h3>
\nVegetables, Fruit, Herbs
\n
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/nakiri-kkda0425"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0425-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,,68,1598,no,,
12468,simple,,,San Mai Rosewood Nakiri 178 mm KKDA0070,1,0,visible,"<h3>Good for</h3>
\nVegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/nakiri-kkda0070"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0070-custom.jpg,,,,,,,,,0,,,,,,,10,,68,1598,no,,
12481,simple,,,San Mai G10 Nakiri 180 mm KKDA0184,1,0,visible,"<h3>Good for</h3>
\nVegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/nakiri-kkda0184"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/San-Mai-G10-Nakiri-180-mm-KKDA0184.webp,,,,,,,,,0,,,,,,,10,,68,1598,no,0,
12485,simple,,,Damascus Clad 10Cr15CoMoV Ebony Handle Nakiri 178 mm Hammered Finish KKDA0124,1,0,visible,"<h3>Good for</h3>
\nVegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/nakiri-kkda0124"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0124-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,,68,1598,no,,
12511,simple,,,5Cr15MoV Pakkawood Nakiri 167 mm Hammered Finish KKDA0326,1,0,visible,"<h3>Good for</h3>
\nVegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/nakiri-kkda0326"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0326.jpeg,,,,,,,,,0,,Blade Material,5Cr15MoV,0,1,,10,,68,1598,no,,
12521,simple,,,Damascus Clad 10Cr15CoMoV G10 Handle Nakiri 172 mm Hammered Finish KKDA0316,1,0,visible,"<h3>Good for</h3>
\nVegetables, Fruit, Herbs
\n<!-- wp:kadence/advancedbtn {""hAlign"":""left"",""uniqueID"":""12273_1db00d-5b"",""btns"":[],""margin"":[{""desk"":[null,"""","""",""""],""tablet"":["""","""","""",""""],""mobile"":["""","""","""",""""]}]} -->
\n<div class=""wp-block-kadence-advancedbtn kb-buttons-wrap kb-btns12273_1db00d-5b""><!-- wp:kadence/singlebtn {""uniqueID"":""12273_a58230-06"",""text"":""Buy Wholesale Now"",""link"":""https://wholesale.leeknives.com/products/nakiri-kkda0316"",""target"":""_blank"",""width"":[200,"""",""""],""widthType"":""fixed"",""color"":""#1885f5"",""background"":""var(\u002d\u002dbase-3)"",""colorHover"":""#1960a8"",""backgroundHover"":""var(\u002d\u002dbase-3)"",""borderStyle"":[{""top"":[""#1885f5"","""",2],""right"":[""#1885f5"","""",2],""bottom"":[""#1885f5"","""",2],""left"":[""#1885f5"","""",2],""unit"":""px""}],""borderHoverStyle"":[{""top"":[""#1960a8"","""",2],""right"":[""#1960a8"","""",2],""bottom"":[""#1960a8"","""",2],""left"":[""#1960a8"","""",2],""unit"":""px""}],""borderRadius"":[0,0,0,0],""inheritStyles"":""inherit"",""typography"":[{""size"":["""","""",""""],""sizeType"":""px"",""lineHeight"":["""","""",""""],""lineType"":"""",""letterSpacing"":["""","""",""""],""letterType"":""px"",""family"":"""",""google"":false,""style"":""normal"",""weight"":""regular"",""variant"":"""",""subset"":"""",""textTransform"":"""",""loadGoogle"":true}],""noCustomDefaults"":true,""className"":""smooth-scroll""} /--></div>
\n<!-- /wp:kadence/advancedbtn -->",,,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0316.jpeg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,,68,1598,no,,
