Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
knife rope,1,1,210,16,0.73,https://nobliecustomknives.com/what-is-a-lanyard/,0,0,0.00,0.53,24000000,"[43,53,65,21,81,81,34,100,81,53,100,100]",2026-02-15,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,People also ask
knife rope,1,1,210,16,0.73,https://nobliecustomknives.com/how-to-tie-knife-lanyard/,1,0,0.00,0.53,24000000,"[43,53,65,21,81,81,34,100,81,53,100,100]",2026-02-15,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Image pack
unusual knife blade shapes,1,1,260,7,0.00,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,10,0.05,0.00,0.9,188,"[54,54,44,44,28,44,28,35,44,44,44,44]",2026-03-05,"Image pack, Video, Image, Video Carousel, Related searches",informational,Image pack
unusual knife blade shapes,1,1,260,7,0.00,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,10,0.05,0.00,0.9,188,"[54,54,44,44,28,44,28,35,44,44,44,44]",2026-03-05,"Image pack, Video, Image, Video Carousel, Related searches",informational,Image pack
razor knife scraper,1,1,50,23,0.82,https://nobliecustomknives.com/why-dont-people-use-razor-blades-for-knives/,0,0,0.00,1,212,"[42,42,23,33,23,33,33,33,33,9,9,9]",2026-03-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,People also ask
knife tip types,1,1,40,11,0.00,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,1,0,0.00,0.03,208,"[14,14,14,14,14,14,14,14,100,14,14,100]",2026-03-25,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos, Discussions and forums",informational,Image pack
knife tip types,1,1,40,11,0.00,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,1,0,0.00,0.03,208,"[14,14,14,14,14,14,14,14,100,14,14,100]",2026-03-25,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos, Discussions and forums",informational,Image pack
curvy knife,1,1,110,2,0.00,https://nobliecustomknives.com/ultimate-guide-to-karambits-self-defense-tactical-use-everyday-carry/,4,0.02,0.00,0.01,9310000,"[0,11,0,6,0,8,8,44,66,18,81,6]",2026-02-24,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
hardness of steel rockwell,1,1,40,34,1.35,https://nobliecustomknives.com/rockwell-hardness-test-for-knives/,1,0,1.00,0.06,3190000,"[52,52,52,23,52,0,41,0,0,0,0,0]",2026-02-02,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Image pack
blade types,1,1,480,24,0.00,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,19,0.09,0.00,0.01,214,"[7,5,7,24,10,5,8,4,10,8,4,7]",2026-03-28,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos",informational,Image pack
