Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
yatoshi knives review,1,1,90,14,1.38,https://www.insight-kitchenknife.com/are-yatoshi-knives-real-damascus.html,0,0,0.00,1,4420,"[18,35,0,0,1,23,0,0,0,1,0,100]",2026-02-23,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,AI overview
are cuisinart knives good,1,1,320,24,0.37,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,20500000,"[100,54,35,28,35,35,35,44,54,44,44,100]",2026-02-17,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, AI overview",commercial,People also ask
german brand knives,1,1,210,38,1.03,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,7060000,"[81,4,15,0,36,67,19,3,3,15,1,36]",2026-03-01,"Sitelinks, Video, Image, People also ask, Related searches, AI overview","commercial, informational",People also ask
cusinart knifes,1,1,70,21,0.38,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,19100000,"[6,6,4,4,6,6,8,22,4,43,14,81]",2026-02-17,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches","informational, transactional",People also ask
mac mighty knife,1,1,170,12,0.56,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,2060000,"[66,43,28,23,100,28,43,43,35,35,28,35]",2026-03-01,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
are henckels good knives,1,1,320,26,0.45,https://www.insight-kitchenknife.com/what-knives-does-gordon-ramsey-give-to-hell-s-kitchen-chef-s.html,13,12.87,5.00,1,2150000,"[100,4,5,4,4,4,5,8,8,8,10,81]",2026-02-21,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
le creuset knife set,1,1,70,32,0.58,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,1,7380000,"[82,64,41,41,41,41,41,29,41,41,41,52]",2026-02-28,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
cutco chef's knife,1,1,90,16,0.00,https://www.insight-kitchenknife.com/what-knives-do-hell-s-kitchen-contestants-get.html,0,0,0.00,0,277000,"[55,8,5,0,0,1,1,3,2,3,3,3]",2026-02-28,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",People also ask
kitchenaid cutlery set,1,1,90,20,0.52,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,5,4.95,2.00,1,4700000,"[54,29,18,14,10,14,14,18,14,14,14,22]",2026-02-26,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
cuchillos kitchen aid,1,1,50,25,0.20,https://www.insight-kitchenknife.com/which-knives-are-better-cuisinart-or-kitchen-aid.html,0,0,0.00,1,1270000,"[100,71,100,100,100,100,100,57,100,0,100,71]",2026-02-27,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, AI overview",commercial,People also ask
