Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
hrc fire,1,1,50,29,0.00,https://www.koiknives.com/blogs/japanese-knives/understanding-rockwell-hardness-in-knives,0,0,0.00,0.01,3470000,"[28,14,14,78,14,78,78,14,14,14,14,28]",2026-03-02,"Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
knife method,1,1,40,16,0.00,https://www.koiknives.com/blogs/japanese-knives/cutting-through-the-mystery-13-knife-superstitions-you-need-to-know,0,0,0.00,0.33,207000000,"[11,11,100,23,11,11,11,11,11,11,11,11]",2026-02-04,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
ninja bread knife,1,1,70,,0.50,https://www.koiknives.com/products/bread-knife-serrated-ninja-collection-1,9,0.25,4.00,1,19000000,"[100,100,27,63,63,45,27,36,27,63,100,100]",2026-02-07,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",Image pack
sharpening a knife with a stone,1,1,720,28,0.03,https://www.koiknives.com/blogs/knife-sharpening/common-mistakes-to-avoid-whetstone-sharpening-pitfalls-and-how-to-overcome-them,12,0.33,0.00,0.56,7910000,"[8,7,7,8,8,7,8,12,16,10,12,10]",2026-02-02,"Image pack, Video, Video Carousel, People also ask, Related searches, Short videos",informational,People also ask
meat clever,1,1,1300,23,0.78,https://www.koiknives.com/blogs/western-knife-guide/the-cleaver-knife-a-comprehensive-guide,0,0,0.00,1,6740000,"[27,36,10,13,80,44,44,66,27,27,52,27]",2026-02-19,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, Things to know, AI overview",commercial,Things to know
goanna meaning,1,1,260,39,0.00,https://www.koiknives.com/blogs/australian-outback-animals/the-goanna-a-comprehensive-guide-to-australias-iconic-monitor-lizards,32,0.9,0.00,0,445000,"[34,34,43,100,81,81,100,100,100,81,81,81]",2026-02-23,"Knowledge panel, Video, Image, People also ask, Related searches",informational,People also ask
flint steel knife,1,1,50,4,0.45,https://www.koiknives.com/blogs/japanese-knives/from-flint-to-steel-the-evolution-of-the-chefs-knife,2,0.05,0.00,0.9,2120000,"[26,19,26,19,19,26,26,3,19,7,42,7]",2026-02-10,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
river darling,1,1,40,26,0.00,https://www.koiknives.com/blogs/iconic-river-knives/the-darling-river-nsw,0,0,0.00,0,58100000,"[0,2,2,5,2,5,100,2,2,0,2,2]",2026-02-24,"Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches, Things to know, AI overview","informational, transactional",Things to know
fnives,1,1,170,82,0.00,https://www.koiknives.com/blogs/news_updates/7-tips-for-knife-care-and-maintaining-your-knife-in-2022,6,0.16,0.00,0,362000000,"[100,0,0,0,0,0]",2026-02-02,"Local pack, Video, Image, People also ask, Popular products, Related searches, Things to know",commercial,Things to know
sandvik stainless steel,1,1,30,0,2.09,https://www.koiknives.com/blogs/knife-steel-blades/why-sandvik-steel-is-great-for-pocket-knives,1,0.02,2.00,0.13,209,"[33,33,33,33,33,44,44,55,44,44,22,33]",2026-03-25,"Image pack, Video, People also ask, Related searches",informational,People also ask
