Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
is 3cr13 steel good,1,1,40,0,0.00,https://www.shieldon.net/3cr13-steel-yay-or-nay/,0,0,0.00,0.33,744000,"[5,7,12,17,12,17,17,10,5,5,5,5]",2026-02-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
3cr13 steel blade,1,1,140,24,0.00,https://www.shieldon.net/3cr13-steel-yay-or-nay/,0,0,0.00,0.05,571000,"[65,53,80,80,34,34,34,42,34,34,42,53]",2026-02-28,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,AI overview
thumb stud knife,1,1,90,1,0.38,https://www.shieldon.net/comprehensive-guide-to-pocket-knife-laws-in-every-us-state/,0,0,0.00,0.93,2210000,"[18,14,0,43,6,8,29,29,22,10,18,14]",2026-03-01,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
7cr17mov steel,1,1,390,5,0.00,https://www.shieldon.net/all-you-need-to-know-about-7cr17mov-as-a-knife-material/,2,1,0.00,0.12,390000,"[67,44,36,44,36,44,36,44,44,44,44,44]",2026-02-28,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
are folding knives legal in california,1,1,110,4,0.00,https://www.shieldon.net/understanding-california-knife-laws-a-simple-guide-to-carrying-straight-and-folding-knives/,0,0,0.00,0,1710000,"[82,64,64,52,64,100,100,64,100,52,41,41]",2026-03-16,"Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,AI overview
ar rpm9 vs d2,1,1,140,2,0.00,https://www.shieldon.net/ar-rpm9-or-d2-a-guide-to-choosing-the-best-steel-for-your-knife/,8,4,0.00,0.01,145000,"[26,19,53,80,80,42,65,80,80,53,15,53]",2026-03-01,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,AI overview
ar rpm9 vs d2,1,1,140,2,0.00,https://www.shieldon.net/ar-rpm9-or-d2-a-guide-to-choosing-the-best-steel-for-your-knife/,0,0,0.00,0.01,145000,"[26,19,53,80,80,42,65,80,80,53,15,53]",2026-03-01,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,AI overview
hawkbill blade,1,1,140,16,0.00,https://www.shieldon.net/comprehensive-guide-to-pocket-knife-laws-in-every-us-state/,0,0,0.00,0.69,640000,"[66,66,52,52,52,52,66,80,80,80,100,80]",2026-02-19,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview","commercial, informational",People also ask
california legal knives,1,1,480,16,0.51,https://www.shieldon.net/understanding-california-knife-laws-a-simple-guide-to-carrying-straight-and-folding-knives/,0,0,0.00,0.22,13700000,"[8,11,16,52,16,16,16,16,84,16,25,20]",2026-02-20,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
154cm steel,1,1,1300,13,1.72,https://www.shieldon.net/the-154cm-steel-guide-crafting-excellence-in-pocket-knives/,0,0,0.00,0.05,1090000,"[84,84,68,84,84,68,68,68,84,52,52,68]",2026-02-25,"Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,Things to know
154cm steel,1,1,1300,13,1.72,https://www.shieldon.net/the-154cm-steel-guide-crafting-excellence-in-pocket-knives/,0,0,0.00,0.05,1090000,"[84,84,68,84,84,68,68,68,84,52,52,68]",2026-02-25,"Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,Things to know
