Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
xinzuo,1,1,140,30,0.63,https://xinzuocutlery.com/,112,47.86,70.00,0.47,0,"[28,34,34,34,28,28,43,43,53,43,81,100]",2026-03-17,"Sitelinks, Video, Video Carousel, Popular products, Related searches","commercial, navigational",Organic
xin zuo,1,1,50,32,0.57,https://xinzuocutlery.com/,9,3.84,5.00,0.55,8480000,"[66,23,33,33,9,9,9,9,9,9,9,100]",2026-02-25,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview","informational, navigational",AI overview
xin zuo,1,1,50,32,0.57,https://xinzuocutlery.com/,0,0,0.00,0.55,8480000,"[66,23,33,33,9,9,9,9,9,9,9,100]",2026-02-25,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview","informational, navigational",AI overview
xin zuo,1,1,50,32,0.57,https://xinzuocutlery.com/,1,0.42,0.00,0.55,8480000,"[66,23,33,33,9,9,9,9,9,9,9,100]",2026-02-25,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview","informational, navigational",Organic
xinzuo knives,1,1,110,0,0.64,https://xinzuocutlery.com/,27,11.53,17.00,1,182000,"[42,80,0,42,34,80,42,65,65,19,11,19]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo knife 2pcs,1,1,70,0,0.00,https://xinzuocutlery.com/collections/knife-set,9,3.84,0.00,0.33,0,"[0,0,0,52,100,52,33,52,66,19,9,9]",2026-03-08,"Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
damascus steel knives xinzuo,1,1,40,11,0.00,https://xinzuocutlery.com/collections/damascus-knives,32,13.67,0.00,0.33,138000,"[0,0,0,9,45,100,18,100,100,18,18,18]",2026-03-25,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums",commercial,Organic
knife xinzuo 3 pcs,1,1,50,0,0.00,https://xinzuocutlery.com/collections/knife-set,12,5.12,0.00,0.33,0,"[0,0,0,81,81,81,45,100,100,45,18,18]",2026-03-12,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
xinzuo knife,2,2,140,22,0.64,https://xinzuocutlery.com/,18,7.69,11.00,1,234000,"[100,11,18,11,5,5,5,8,6,23,35,35]",2026-03-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo knife 2pcs,3,3,70,0,0.00,https://xinzuocutlery.com/products/xinzuo-lan-series-2pcs-damascus-kitchen-knife-set,4,1.7,0.00,0.33,0,"[0,0,0,52,100,52,33,52,66,19,9,9]",2026-03-08,"Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
