Keyword,Search Volume,Keyword Difficulty,Position,Traffic,topic,content_type,priority_score,competitor,archive
kangaroo,110000,61.0,94,0,other,Informational Post,1239.44,koi,0
kookaburra,40500,50.0,1,0,other,Informational Post,1012.5,koi,0
blades,14800,38.0,2,111,knife_types,Informational Post,975.88,noblie,0
butcher knife,18100,23.0,1,0,knife_types,Informational Post,822.73,koi,0
miyabi,33100,51.0,4,0,other,Informational Post,651.15,koi,0
se ax,2900,9.0,1,179,other,Informational Post,638.76,noblie,0
types of knives,8100,27.0,2,87,other,List Post,614.07,noblie,0
boning knife,12100,17.0,5,0,knife_types,Informational Post,537.78,koi,0
types of swords,12100,21.0,11,36,knife_types,Comparison,530.84,noblie,0
knives kinds,4400,27.0,3,193,other,Informational Post,522.65,noblie,0
when must a knife be cleaned and sanitized,2900,2.0,6,63,knife_types,Informational Post,472.7,noblie,0
daggers,9900,23.0,5,21,knife_types,Informational Post,435.6,noblie,0
gravity knife,14800,44.0,6,31,knife_types,Informational Post,430.84,noblie,0
ebony wood,9900,25.0,1,0,other,Informational Post,424.29,koi,0
steak knives,9900,18.0,4,0,other,Informational Post,424.29,koi,0
pocket knives,14800,33.0,6,0,outdoor,Informational Post,413.02,koi,0
dagger meaning,14800,55.0,12,74,knife_types,Informational Post,396.18,noblie,0
knife types,2900,23.0,3,188,knife_types,List Post,379.64,noblie,0
different types of knives,2400,9.0,1,99,other,List Post,377.05,noblie,0
kukri,14800,26.0,34,4,other,Informational Post,342.04,noblie,0
ww1 trench knife,2400,11.0,1,99,knife_types,Informational Post,341.14,noblie,0
macuahuitl,12100,50.0,8,36,other,Informational Post,329.12,noblie,0
folding knife,9900,27.0,5,0,knife_types,Informational Post,321.08,koi,0
hunting knives,5400,27.0,5,81,outdoor,Informational Post,316.99,noblie,0
karma bit knife,4400,32.0,2,96,knife_types,Informational Post,308.0,noblie,0
shun,14800,64.0,3,0,other,Informational Post,300.0,koi,0
chef knives,9900,40.0,1,0,cooking,Informational Post,297.0,koi,0
ulu knife,9900,26.0,19,6,knife_types,Informational Post,291.5,noblie,0
cleaver knife,8100,32.0,3,0,knife_types,Informational Post,289.29,koi,0
paracord keychain,4400,26.0,1,48,comparison,Comparison,271.33,noblie,0
japanese knives,12100,59.0,1,0,other,Informational Post,263.04,koi,0
gravity knives,4400,13.0,5,13,other,Informational Post,259.41,noblie,0
d2 steel,4400,13.0,7,13,steel_types,Informational Post,259.41,koi,0
knife for boots,2900,14.0,2,39,knife_types,Comparison,251.94,noblie,0
brading a pocket knive lanyard,1900,0.0,4,9,outdoor,Informational Post,248.52,noblie,0
seax knife,5400,14.0,20,8,knife_types,Informational Post,243.0,noblie,0
g10 knife,2900,5.0,4,0,knife_types,Informational Post,232.0,koi,0
barramundi fish,6600,34.0,1,0,cooking,Informational Post,225.0,koi,0
shun knife,6600,27.0,4,0,knife_types,Informational Post,214.05,koi,0
scrimshaw,12100,39.0,28,8,other,Informational Post,213.36,noblie,0
otf d/a knives,12100,44.0,24,18,other,Informational Post,211.53,noblie,0
jambiya,1900,19.0,1,115,other,Informational Post,211.29,noblie,0
g10,6600,15.0,58,0,other,Informational Post,211.2,koi,0
japanese knife,12100,59.0,8,0,knife_types,Informational Post,210.43,koi,0
glock knife,6600,30.0,4,6,knife_types,Informational Post,209.88,noblie,0
glock 78,4400,25.0,7,39,other,Informational Post,209.69,noblie,0
types of daggers,1600,17.0,2,131,knife_types,List Post,205.33,noblie,0
paracord knots for knife lanyard,1900,26.0,1,157,knife_types,Comparison,203.46,noblie,0
aztec sword,2900,25.0,1,63,knife_types,Comparison,202.59,noblie,0
damascus blade,2400,13.0,3,26,steel_types,Informational Post,197.22,noblie,0
gravity blade,5400,30.0,4,21,knife_types,Informational Post,196.02,noblie,0
ballistic knife,6600,27.0,12,9,knife_types,List Post,194.43,noblie,0
best knife set,12100,40.0,69,0,knife_types,List Post,193.6,insight,0
micarta,5400,13.0,40,1,other,Informational Post,189.7,koi,0
seax seax,5400,14.0,28,3,other,Informational Post,185.4,noblie,0
g10 material,2400,17.0,3,36,other,Informational Post,181.33,koi,0
yarborough knife,2400,18.0,6,72,knife_types,Comparison,176.91,noblie,0
m390 steel,2400,8.0,5,10,steel_types,Informational Post,176.0,noblie,0
steak knife set,3600,21.0,3,0,knife_types,Informational Post,174.19,koi,0
g10 punch dagger,2900,15.0,1,0,knife_types,Informational Post,174.0,koi,0
japanese pocket knife,2900,10.0,6,0,knife_types,Informational Post,174.0,koi,0
knife sheaths,2400,16.0,6,57,knife_types,Informational Post,173.91,noblie,0
damascus knife damascus,5400,15.0,61,0,steel_types,Informational Post,172.8,noblie,0
chef knife set,5400,28.0,4,0,knife_types,Informational Post,170.53,koi,0
dirk knife,4400,25.0,10,13,knife_types,Informational Post,170.47,noblie,0
damascus steel knife set,1600,5.0,3,0,steel_types,Informational Post,160.0,noblie,0
d2 steel,4400,13.0,22,3,steel_types,Informational Post,157.63,noblie,0
mokume gane,2400,14.0,7,31,other,Informational Post,157.2,noblie,0
d2 steel,4400,13.0,60,0,steel_types,Informational Post,153.04,shieldon,0
neck knives,2400,9.0,4,0,other,Informational Post,151.58,noblie,0
